#,Project,Tracker,Parent task,Status,Priority,Subject,Author,Assignee,Updated,Category,Target version,Start date,Due date,Estimated time,Spent time,% Done,Created,Closed,Related issues,Private,Description
57056,openSUSE Leap 15.2,action,"",Closed,Normal,run desktop-file translation extractor,lnussel,favogt,24/09/2019 12:31 pm,Release Engineering,Alpha,20/09/2019,24/09/2019,"",0.00,100,18/09/2019 11:14 am,24/09/2019 09:12 am,Copied from #56348,No,"the extractor of desktop file translations that pushed to github needs to be run

A full rebuild without build-compare is needed.

on https://github.com/openSUSE/desktop-file-translations

Run
    
    cd 51-xml
    ./download_data.sh download
    ./generate_and_merge_pos.sh download
    git add */*.po */*.pot
    git commit -m update
    git push"
56363,openSUSE Leap 15.2,action,"",Closed,Normal,setup :Images subproject,lnussel,favogt,29/11/2019 12:08 pm,Release Engineering,Alpha,17/06/2019,06/09/2019,"",0.00,100,02/09/2019 01:11 pm,29/11/2019 12:08 pm,Copied from #43391,No,"* create :Images and Images:ToTest subproject (use prjcopy)
* create subproject in openSUSE:Containers
* set release target
* adjust and run totest manager
* create openQA job group
* sync to openQA
* make obs publish to the correct directory
* add to software.o.o"
56276,openSUSE Leap 15.2,action,"",Resolved,Normal,clarify source code offer,lnussel,lkocman,16/01/2020 02:41 pm,Release Engineering,Alpha,02/09/2019,12/01/2020,"",0.00,50,02/09/2019 12:11 pm,16/01/2020 02:41 pm,"",Yes,"* clarify how long we need to provide the source
* check if https://software.opensuse.org/distributions/leap not specifying methods is ok
* check https://en.opensuse.org/Source_code is current"
56093,openSUSE Leap 15.2,action,"",Closed,Normal,ask for scc enablement,lnussel,lnussel,02/09/2019 12:18 pm,Release Engineering,Alpha,29/08/2019,05/09/2019,"",0.00,100,29/08/2019 11:17 am,02/09/2019 12:18 pm,"",No,""
55508,openSUSE Leap 15.2,action,"",Closed,Normal,announce start of development,lnussel,lnussel,14/08/2019 11:10 am,Release Engineering,Alpha,14/08/2019,14/08/2019,"",0.00,100,14/08/2019 11:10 am,14/08/2019 11:10 am,"",No,send mail to factory and devel to announce start of the new distro
54611,openSUSE Leap 15.2,action,"",Resolved,Normal,Add required checks to staging projects,coolo,coolo,24/07/2019 11:06 am,Release Engineering,Alpha,24/07/2019,"","",0.00,0,24/07/2019 11:00 am,24/07/2019 11:06 am,"",No,"We need the required checks for every staging project setup manually.

There is also no osc command for that atm, so it's quite manual.

"
54560,openSUSE Leap 15.2,action,"",Resolved,Normal,Update 000update-repos config.yml,mlin7442,mlin7442,15/08/2019 10:01 am,Release Engineering,Alpha,31/07/2019,16/08/2019,"",0.00,100,23/07/2019 07:44 am,15/08/2019 10:01 am,"",No,Need to update config.yml in 000update-repos after we got online channel available plus have snapshot published.
52136,openSUSE Leap 15.2,action,"",Resolved,Normal,adjust prjconf,lnussel,lkocman,19/07/2019 09:55 am,Release Engineering,Alpha,28/05/2019,31/05/2019,"",0.00,0,27/05/2019 12:28 pm,04/07/2019 09:21 am,"",No,"after copying the sources and before the whole thing builds prjconf needs to be adjusted

* replace old version with new version everywhere
* enable %_with_betatest"
52133,openSUSE Leap 15.2,action,"",Rejected,Normal,verify rpm changelog cutoff date,lnussel,"",07/08/2019 09:10 am,Release Engineering,Alpha,08/08/2019,12/08/2019,"",0.00,0,27/05/2019 11:59 am,07/08/2019 09:10 am,Copied from #49463,No,"RPM changelogs are cut off at a specific date. The date for that may need to be updated

https://bugzilla.opensuse.org/show_bug.cgi?id=1129753"
52130,openSUSE Leap 15.2,action,"",Resolved,Normal,update .treeinfo file to new version,lnussel,"",16/07/2019 11:32 am,Release Engineering,Alpha,10/06/2019,14/06/2019,"",0.00,0,27/05/2019 11:58 am,16/07/2019 11:32 am,Copied from #49214,No,"the treeinfo file in skelcd needs to contain the new version:
https://github.com/openSUSE/skelcd-openSUSE/tree/master/skelcd"
